medium	description	compound	name
PROMM_glycerol	PROMM_glycerol	zn2	Zn2+
PROMM_glycerol	PROMM_glycerol	slnt	Selenite
PROMM_glycerol	PROMM_glycerol	o2	O2
PROMM_glycerol	PROMM_glycerol	ni2	Ni2+
PROMM_glycerol	PROMM_glycerol	na1	Na+
PROMM_glycerol	PROMM_glycerol	mobd	Molybdate
PROMM_glycerol	PROMM_glycerol	mn2	Mn2+
PROMM_glycerol	PROMM_glycerol	mg2	Mg
PROMM_glycerol	PROMM_glycerol	k	K+
PROMM_glycerol	PROMM_glycerol	glyc	Glycerol
PROMM_glycerol	PROMM_glycerol	btn	BIOT
PROMM_glycerol	PROMM_glycerol	so4	Sulfate
PROMM_glycerol	PROMM_glycerol	pi	Phosphate
PROMM_glycerol	PROMM_glycerol	h2o; oh1	H2O
PROMM_glycerol	PROMM_glycerol	h	H+
PROMM_glycerol	PROMM_glycerol	inost	L-Inositol
PROMM_glycerol	PROMM_glycerol	ncam	Nicotinamide
PROMM_glycerol	PROMM_glycerol	fe3	Fe+3
PROMM_glycerol	PROMM_glycerol	fe2	Fe+2
PROMM_glycerol	PROMM_glycerol	pydxn	Pyridoxol
PROMM_glycerol	PROMM_glycerol	cobalt2	Co2+
PROMM_glycerol	PROMM_glycerol	cu2	Cu2+
PROMM_glycerol	PROMM_glycerol	cl	Cl-
PROMM_glycerol	PROMM_glycerol	thm	Thiamin
PROMM_glycerol	PROMM_glycerol	ca2	Ca2+
PROMM_glycerol	PROMM_glycerol	nh3; nh4	NH3
PROMM_glycerol	PROMM_glycerol	fol	Folate
PROMM_glycerol	PROMM_glycerol	h2co3; hco3	H2CO3
PROMM_glycerol	PROMM_glycerol	pnto__R	PAN
PROMM_glycerol	PROMM_glycerol	b12	Vitamin B12
PROMM_lactate	PROMM_lactate	zn2	Zn2+
PROMM_lactate	PROMM_lactate	slnt	Selenite
PROMM_lactate	PROMM_lactate	o2	O2
PROMM_lactate	PROMM_lactate	ni2	Ni2+
PROMM_lactate	PROMM_lactate	na1	Na+
PROMM_lactate	PROMM_lactate	mobd	Molybdate
PROMM_lactate	PROMM_lactate	mn2	Mn2+
PROMM_lactate	PROMM_lactate	mg2	Mg
PROMM_lactate	PROMM_lactate	k	K+
PROMM_lactate	PROMM_lactate	btn	BIOT
PROMM_lactate	PROMM_lactate	so4	Sulfate
PROMM_lactate	PROMM_lactate	pi	Phosphate
PROMM_lactate	PROMM_lactate	h2o; oh1	H2O
PROMM_lactate	PROMM_lactate	h	H+
PROMM_lactate	PROMM_lactate	inost	L-Inositol
PROMM_lactate	PROMM_lactate	ncam	Nicotinamide
PROMM_lactate	PROMM_lactate	fe3	Fe+3
PROMM_lactate	PROMM_lactate	fe2	Fe+2
PROMM_lactate	PROMM_lactate	lac__L	L-Lactate
PROMM_lactate	PROMM_lactate	pydxn	Pyridoxol
PROMM_lactate	PROMM_lactate	cobalt2	Co2+
PROMM_lactate	PROMM_lactate	cu2	Cu2+
PROMM_lactate	PROMM_lactate	cl	Cl-
PROMM_lactate	PROMM_lactate	thm	Thiamin
PROMM_lactate	PROMM_lactate	ca2	Ca2+
PROMM_lactate	PROMM_lactate	nh3; nh4	NH3
PROMM_lactate	PROMM_lactate	fol	Folate
PROMM_lactate	PROMM_lactate	h2co3; hco3	H2CO3
PROMM_lactate	PROMM_lactate	pnto__R	PAN
PROMM_lactate	PROMM_lactate	b12	Vitamin B12
PROMM_acetate	PROMM_acetate	zn2	Zn2+
PROMM_acetate	PROMM_acetate	slnt	Selenite
PROMM_acetate	PROMM_acetate	ac	Acetate
PROMM_acetate	PROMM_acetate	o2	O2
PROMM_acetate	PROMM_acetate	ni2	Ni2+
PROMM_acetate	PROMM_acetate	na1	Na+
PROMM_acetate	PROMM_acetate	mobd	Molybdate
