,id,name,model,status,hasgpr,exchange,gapfilled,gpr_nogap,gpr_gapfill
0,EX_cpd11416_b,EX_cpd11416_b,2OrMore,exchange,False,True,False,,
1,EX_cpd00001_b,EX_cpd00001_b,2OrMore,exchange,False,True,False,,
2,EX_cpd00254_b,EX_cpd00254_b,2OrMore,exchange,False,True,False,,
3,EX_cpd10516_b,EX_cpd10516_b,2OrMore,exchange,False,True,False,,
4,EX_cpd00007_b,EX_cpd00007_b,2OrMore,exchange,False,True,False,,
5,EX_cpd00116_b,EX_cpd00116_b,2OrMore,exchange,False,True,False,,
6,EX_cpd00011_b,EX_cpd00011_b,2OrMore,exchange,False,True,False,,
7,EX_cpd03453_b,EX_cpd03453_b,2OrMore,exchange,False,True,False,,
8,EX_cpd03726_b,EX_cpd03726_b,2OrMore,exchange,False,True,False,,
9,EX_cpd00067_b,EX_cpd00067_b,2OrMore,exchange,False,True,False,,
10,EX_cpd00132_b,EX_cpd00132_b,2OrMore,exchange,False,True,False,,
11,EX_cpd00220_b,EX_cpd00220_b,2OrMore,exchange,False,True,False,,
12,EX_cpd00161_b,EX_cpd00161_b,2OrMore,exchange,False,True,False,,
13,EX_cpd00129_b,EX_cpd00129_b,2OrMore,exchange,False,True,False,,
14,EX_cpd00264_b,EX_cpd00264_b,2OrMore,exchange,False,True,False,,
15,EX_cpd00322_b,EX_cpd00322_b,2OrMore,exchange,False,True,False,,
16,EX_cpd00107_b,EX_cpd00107_b,2OrMore,exchange,False,True,False,,
17,EX_cpd00393_b,EX_cpd00393_b,2OrMore,exchange,False,True,False,,
18,EX_cpd00017_b,EX_cpd00017_b,2OrMore,exchange,False,True,False,,
19,EX_cpd00023_b,EX_cpd00023_b,2OrMore,exchange,False,True,False,,
20,EX_cpd00035_b,EX_cpd00035_b,2OrMore,exchange,False,True,False,,
21,EX_cpd00039_b,EX_cpd00039_b,2OrMore,exchange,False,True,False,,
22,EX_cpd00051_b,EX_cpd00051_b,2OrMore,exchange,False,True,False,,
23,EX_cpd00215_b,EX_cpd00215_b,2OrMore,exchange,False,True,False,,
24,EX_cpd00305_b,EX_cpd00305_b,2OrMore,exchange,False,True,False,,
25,EX_cpd00119_b,EX_cpd00119_b,2OrMore,exchange,False,True,False,,
26,EX_cpd00644_b,EX_cpd00644_b,2OrMore,exchange,False,True,False,,
27,EX_cpd00104_b,EX_cpd00104_b,2OrMore,exchange,False,True,False,,
28,EX_cpd00635_b,EX_cpd00635_b,2OrMore,exchange,False,True,False,,
29,EX_cpd00033_b,EX_cpd00033_b,2OrMore,exchange,False,True,False,,
30,EX_cpd00028_b,EX_cpd00028_b,2OrMore,exchange,False,True,False,,
31,EX_cpd00218_b,EX_cpd00218_b,2OrMore,exchange,False,True,False,,
32,EX_cpd00084_b,EX_cpd00084_b,2OrMore,exchange,False,True,False,,
33,EX_cpd00053_b,EX_cpd00053_b,2OrMore,exchange,False,True,False,,
34,EX_cpd00156_b,EX_cpd00156_b,2OrMore,exchange,False,True,False,,
35,EX_cpd00060_b,EX_cpd00060_b,2OrMore,exchange,False,True,False,,
36,EX_cpd00118_b,EX_cpd00118_b,2OrMore,exchange,False,True,False,,
37,EX_cpd00066_b,EX_cpd00066_b,2OrMore,exchange,False,True,False,,
38,EX_cpd00054_b,EX_cpd00054_b,2OrMore,exchange,False,True,False,,
39,EX_cpd00065_b,EX_cpd00065_b,2OrMore,exchange,False,True,False,,
40,EX_cpd00041_b,EX_cpd00041_b,2OrMore,exchange,False,True,False,,
41,EX_cpd00069_b,EX_cpd00069_b,2OrMore,exchange,False,True,False,,
42,EX_cpd00027_b,EX_cpd00027_b,2OrMore,exchange,False,True,False,,
43,EX_cpd00029_b,EX_cpd00029_b,2OrMore,exchange,False,True,False,,
44,rxn05319_c0,TRANS_RXNBWI_115401cemaizeexpOH_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
45,rxn05468_c0,TRANS_RXNAVI_26568ce_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
46,rxn05467_c0,CO2_transporter_via_diffusion_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
47,rxn01106_c0,2_Phospho_D_glycerate_2_3_phosphomutase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
48,rxn14422_c0,cytochrome_bd_oxidase_2_protons_translocated_c0,2OrMore,nogpr,False,,False,Unknown,
49,rxn08173_c0,F1_ATPase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
50,rxn00786_c0,D_fructose_1_6_bisphosphate_D_glyceraldehyde_3_phosphate_lyase_glycerone_phosphate_forming_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
51,rxn00558_c0,D_glucose_6_phosphate_aldose_ketose_isomerase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
52,rxn00148_c0,ATP_pyruvate_2_O_phosphotransferase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
53,rxn00747_c0,D_glyceraldehyde_3_phosphate_aldose_ketose_isomerase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
54,rxn10122_c0,NADH_dehydrogenase_ubiquinone_8__35_protons_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
55,rxn05226_c0,D_glucose_transport_via_PEP_Pyr_PTS_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
56,rxn00781_c0,D_glyceraldehyde_3_phosphate_NAD_plus__oxidoreductase_phosphorylating_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
57,rxn05488_c0,acetate_reversible_transport_via_proton_symport_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
58,rxn00459_c0,2_phospho_D_glycerate_hydro_lyase_phosphoenolpyruvate_forming_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
59,rxn05938_c0,pyruvate_ferredoxin_oxidoreductase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
60,rxn14421_c0,cytochrome_bo_reductase_ubiquinol__2_protons_c0,2OrMore,nogpr,False,,False,Unknown,
61,rxn00172_c0,Acetate_CoA_ligase_ADP_forming_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
62,rxn07191_c0,D_glyceraldehyde_3_phosphate_ferredoxin_oxidoreductase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
63,rxn00545_c0,ATP_D_fructose_6_phosphate_1_phosphotransferase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
64,rxn01100_c0,ATP_3_phospho_D_glycerate_1_phosphotransferase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
65,rxn05064_c0,carbamate_hydro_lyase_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
66,rxn02374_c0,R03314_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
67,rxn04457_c0,R06605_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
68,rxn02916_c0,R04175_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
69,rxn03012_c0,R04336_c0,2OrMore,nogpr,False,False,False,Unknown,Unknown
